Ec,Xi,Eta,k,Fval,Gval
-1,3,4.96002,2.0,1.00001,0.0
-1,3,4.98002,2.0,1.0,0.0
-1,3,5.00002,2.0,1.0,0.0
5,0,0.0,3.0,0.0,1.0
5,0,0.02,3.0,0.13538,1.02977
5,0,0.04,3.0,0.26299,1.04721
5,0,0.06,3.0,0.38271,1.05374
5,0,0.08,3.0,0.49451,1.05072
5,0,0.1,3.0,0.59841,1.03943
5,0,0.12,3.0,0.69452,1.02107
5,0,0.14,3.0,0.78299,0.99676
5,0,0.16,3.0,0.86402,0.96753
5,0,0.18,3.0,0.93784,0.93431
5,0,0.2,3.0,1.00472,0.89797
5,0,0.22,3.0,1.06495,0.85927
5,0,0.24,3.0,1.11886,0.8189
5,0,0.26,3.0,1.16676,0.77747
5,0,0.28,3.0,1.20899,0.73551
5,0,0.3,3.0,1.24589,0.69348
5,0,0.32,3.0,1.27781,0.65177
5,0,0.34,3.0,1.30509,0.61072
5,0,0.36,3.0,1.32806,0.5706
5,0,0.38,3.0,1.34705,0.53165
5,0,0.4,3.0,1.36238,0.49405
5,0,0.42,3.0,1.37437,0.45794
5,0,0.44,3.0,1.3833,0.42342
5,0,0.46,3.0,1.38946,0.39057
5,0,0.48,3.0,1.39313,0.35943
5,0,0.5,3.0,1.39455,0.33004
5,0,0.52,3.0,1.39398,0.30238
5,0,0.54,3.0,1.39162,0.27645
5,0,0.56,3.0,1.38771,0.25221
5,0,0.58,3.0,1.38243,0.22963
5,0,0.6,3.0,1.37597,0.20864
5,0,0.62,3.0,1.3685,0.1892
5,0,0.64,3.0,1.36017,0.17124
5,0,0.66,3.0,1.35112,0.15469
5,0,0.68,3.0,1.34148,0.13947
5,0,0.7,3.0,1.33138,0.12552
5,0,0.72,3.0,1.32091,0.11276
5,0,0.74,3.0,1.31018,0.10111
5,0,0.76,3.0,1.29927,0.0905
5,0,0.78,3.0,1.28825,0.08087
5,0,0.8,3.0,1.2772,0.07213
5,0,0.82,3.0,1.26617,0.06423
5,0,0.84,3.0,1.25523,0.0571
5,0,0.86,3.0,1.2444,0.05068
5,0,0.88,3.0,1.23374,0.0449
5,0,0.9,3.0,1.22327,0.03972
5,0,0.92,3.0,1.21303,0.03509
5,0,0.94,3.0,1.20303,0.03094
5,0,0.96,3.0,1.19331,0.02724
5,0,0.98,3.0,1.18386,0.02395
5,0,1.0,3.0,1.17471,0.02103
5,0,1.02,3.0,1.16586,0.01844
5,0,1.04,3.0,1.15732,0.01614
5,0,1.06,3.0,1.1491,0.01411
5,0,1.08,3.0,1.14119,0.01232
5,0,1.1,3.0,1.13359,0.01074
5,0,1.12,3.0,1.1263,0.00936
5,0,1.14,3.0,1.11933,0.00814
5,0,1.16,3.0,1.11266,0.00707
5,0,1.18,3.0,1.10628,0.00613
5,0,1.2,3.0,1.1002,0.00532
5,0,1.22,3.0,1.09441,0.0046
5,0,1.24,3.0,1.08889,0.00398
5,0,1.26,3.0,1.08364,0.00344
5,0,1.28,3.0,1.07866,0.00297
5,0,1.3,3.0,1.07392,0.00256
5,0,1.32,3.0,1.06943,0.00221
5,0,1.34,3.0,1.06518,0.0019
5,0,1.36,3.0,1.06115,0.00163
5,0,1.38,3.0,1.05733,0.0014
5,0,1.4,3.0,1.05373,0.00121
5,0,1.42,3.0,1.05032,0.00103
5,0,1.44,3.0,1.0471,0.00089
5,0,1.46,3.0,1.04407,0.00076
5,0,1.48,3.0,1.04121,0.00065
5,0,1.5,3.0,1.03852,0.00056
5,0,1.52,3.0,1.03598,0.00048
5,0,1.54,3.0,1.03359,0.00041
5,0,1.56,3.0,1.03135,0.00035
5,0,1.58,3.0,1.02924,0.0003
5,0,1.6,3.0,1.02726,0.00025
5,0,1.62,3.0,1.0254,0.00022
5,0,1.64,3.0,1.02366,0.00018
5,0,1.66,3.0,1.02202,0.00016
5,0,1.68,3.0,1.02049,0.00013
5,0,1.7,3.0,1.01906,0.00011
5,0,1.72,3.0,1.01771,0.0001
5,0,1.74,3.0,1.01646,8e-05
5,0,1.76,3.0,1.01529,7e-05
5,0,1.78,3.0,1.01419,6e-05
5,0,1.8,3.0,1.01316,5e-05
5,0,1.82,3.0,1.01221,4e-05
5,0,1.84,3.0,1.01132,4e-05
5,0,1.86,3.0,1.01049,3e-05
5,0,1.88,3.0,1.00972,3e-05
5,0,1.9,3.0,1.009,2e-05
5,0,1.92,3.0,1.00833,2e-05
5,0,1.94,3.0,1.0077,2e-05
5,0,1.96,3.0,1.00712,1e-05
5,0,1.98,3.0,1.00659,1e-05
5,0,2.0,3.0,1.00609,1e-05
5,0,2.02,3.0,1.00562,1e-05
5,0,2.04,3.0,1.0052,1e-05
5,0,2.06,3.0,1.0048,1e-05
5,0,2.08,3.0,1.00443,0.0
5,0,2.1,3.0,1.00409,0.0
5,0,2.12,3.0,1.00377,0.0
5,0,2.14,3.0,1.00348,0.0
5,0,2.16,3.0,1.00321,0.0
5,0,2.18,3.0,1.00296,0.0
5,0,2.2,3.0,1.00273,0.0
5,0,2.22,3.0,1.00252,0.0
5,0,2.24,3.0,1.00232,0.0
5,0,2.26,3.0,1.00214,0.0
5,0,2.28,3.0,1.00198,0.0
5,0,2.3,3.0,1.00182,0.0
5,0,2.32,3.0,1.00168,0.0
